label,cagr,vol,sharpe,sortino,mdd,calmar,worst_mo,worst_yr
PG-A2,102.95052989360988,68.19376318556796,1.3641007547103001,2.041966379607794,57.38669606390625,1.7939790396534314,-27.549431086959096,-1.9174861585104397
PG-B3,25.469753630064005,16.05199183448674,1.4928406629150925,2.290542912502429,18.20000000000008,1.399437012640873,-6.461513696953924,5.105082061311039
PG-C1,87.29512805911884,68.9210618567673,1.240872087416852,1.8545594615636243,65.30391245593688,1.3367518847820994,-30.638694769259878,8.0565556871546
M10,64.53067766851981,27.443392068033468,1.947399051565719,3.184323805473222,23.082825845587962,2.7956142848452052,-9.634807897726205,-6.474824104741406
CT,13.435075935297135,30.126843914686525,0.5682254243928395,0.7335910433743704,35.574953853453785,0.3776554704931204,-9.07042109207098,-15.049274116229538
EW-5 (20% each),62.908483692155,35.12014366510676,1.5612544563490824,2.536829301339928,34.54896818018596,1.8208498547355576,-13.653785988131318,14.755246898913654
IVW-5 (causal 90d),46.29662335665461,22.491692747566443,1.8026071615336612,2.9456259822545454,16.772393835570366,2.760287160588263,-7.437419666160949,8.623877130072021
SharpeTilt-5 (causal),66.86759059936986,34.136453187184884,1.6662810048293049,2.7715134789794273,33.460212108748,1.9984210016973467,-14.641956000003898,7.284834087043235
MinVar-5 (causal 120d),28.54011531316265,15.863003529012262,1.661190561282541,2.6314200187033876,13.5092344202136,2.112637505975812,-5.212668817108968,6.331050621977008
EW-3fam (B3/M10/CT),35.200793158961474,16.971536717947792,1.8607200877136512,3.292489979600059,14.466969848211209,2.4331835573234386,-5.8017616113928305,4.90845454803619
EW-3fam (A2/M10/CT),64.45539691641243,31.73044732020941,1.7233396516782915,2.9131538969224935,27.0545452768311,2.3824239608126243,-10.389573824814258,13.652784709632627
IVW-3fam (B3/M10/CT),33.70904479400056,15.267628401057298,1.9782007169163793,3.3749164654634733,13.262703337364968,2.5416420722487394,-5.091942785069792,3.952795799898756
[OVERFIT] full-sample maxSharpe,50.35663753946247,18.27534457401606,2.3214870570468107,4.296232074652097,13.276435889840887,3.7929334316294407,-5.486684235277717,0.699938728505245
