,EW-5 (20% each),IVW-5 (causal 90d),SharpeTilt-5 (causal),MinVar-5 (causal 120d),EW-3fam (B3/M10/CT),EW-3fam (A2/M10/CT),IVW-3fam (B3/M10/CT),[OVERFIT] full-sample maxSharpe
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0012766706697990406,0.0012766706697990406,0.0012766706697990406,0.0012766706697990406,0.002127784449665067,0.002127784449665067,0.002127784449665067,0.0031485196892437894
2020-03-02,3.143202002101738e-05,3.143202002101738e-05,3.143202002101738e-05,3.143202002101738e-05,5.2342207662924936e-05,5.2342207662924936e-05,5.2342207662924936e-05,-0.0007152378663847704
2020-03-03,0.0005234835927236151,0.0005234835927236151,0.0005234835927236151,0.0005234835927236151,0.0008717134306035404,0.0008717134306035404,0.0008717134306035404,0.0007600874577015293
2020-03-04,-0.0035980392672117253,-0.0035980392672117253,-0.0035980392672117253,-0.0035980392672117253,-0.0004948565783867438,-0.002122933700312897,-0.0004948565783867438,-0.0011419550397551795
2020-03-05,0.0028329912385554727,0.0028329912385554727,0.0028329912385554727,0.0028329912385554727,0.0010494407353377824,0.0023674821657141483,0.0010494407353377824,0.0012694794074963284
2020-03-06,-0.001652119109403103,-0.001652119109403103,-0.001652119109403103,-0.001652119109403103,-0.0010963682644721852,-0.0016916595648227535,-0.0010963682644721852,-0.0027551389868670628
2020-03-07,-0.011404195949684946,-0.011404195949684946,-0.011404195949684946,-0.011404195949684946,-0.002271308705603739,-0.008595478983457944,-0.002271308705603739,-0.0027523193413586024
