,PG-A2,PG-B3,PG-C1,M10,CT
label,PG-A2,PG-B3,PG-C1,M10,CT
start,2020-02-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01
end,2026-06-01,2026-06-01,2026-06-01,2026-05-31,2026-06-01
years,6.33,6.33,6.33,6.33,6.33
total_return_pct,8682.144055166951,316.42218434810854,5185.758103985927,2231.5216164538356,119.5410673728563
cagr_pct,102.7917195080993,25.277772607367368,87.161564846543,64.4952317930531,13.227702985236478
ann_vol_pct,68.17915972647701,16.05256780501997,68.90628282980192,27.443392068033468,30.123674564692806
sharpe,1.3635528032190936,1.4838600790380096,1.2403540471691787,1.947399051565719,0.5623581409858245
sortino,2.0410296886166415,2.2773832949759973,1.8536666818427672,3.184323805473222,0.7263510139609497
max_drawdown_pct,57.386696063906285,18.200000000000017,65.30391245593682,23.082825845587962,35.574953853453415
calmar,1.7912116667882332,1.3888886048004034,1.3347066288770129,2.794078689693042,0.3718262865421091
longest_dd_days,514,509,624,721,1216
pct_positive_days,36.67820069204152,40.181660899653984,37.9757785467128,52.27174383383817,36.76470588235294
pct_positive_months,52.63157894736842,57.89473684210527,53.94736842105263,62.66666666666667,42.10526315789473
best_month_pct,95.00284658629126,17.43452222297981,94.24214042684804,44.83007619574264,38.61135048142863
worst_month_pct,-27.54943108695911,-6.461513696953891,-30.63869476925989,-9.63480789772616,-9.07042109207098
best_year_pct,279.95770180841316,47.80056501745502,194.78485064850534,122.31011432676549,36.69848843234775
worst_year_pct,0.04224711535878445,4.909983281031272,10.215574834049534,-3.6665160448537515,-13.761584083709778
daily_skew,2.299658774950985,1.5386404696992635,2.1943401780629905,3.9235653836977185,0.4727585638966828
daily_kurtosis,21.756660924514307,9.442457546104107,22.312342122934204,58.95876464471016,5.62821656660795
var95_daily_pct,-4.674402833063769,-1.041966676729026,-4.716754968652933,-1.4277281358097749,-2.2385385952039987
cvar95_daily_pct,-7.038883137875282,-1.6654431914168797,-7.23106541869761,-2.559421691502577,-3.708689229282557
t_stat_daily_mean,3.4306053701765866,3.7332902280869797,3.120645746239674,4.89846280365434,1.4148545284597285
n_days,2312,2312,2312,2311,2312
