,PG-A2,PG-B3,PG-C1,M10,CT
label,PG-A2,PG-B3,PG-C1,M10,CT
start,2020-01-01,2020-01-02,2020-01-01,2019-06-01,2020-02-01
end,2026-06-30,2026-06-30,2026-06-30,2026-05-31,2026-06-30
years,6.49,6.49,6.49,7.0,6.41
total_return_pct,14831.016105764678,396.8743535688492,8057.8998779017265,2231.5216164538356,157.7121425381405
cagr_pct,116.15980137826907,28.013578189191456,96.94839465443472,56.83189595394656,15.916837821934982
ann_vol_pct,69.55930682829899,17.17871230467084,69.99954739286567,26.107448263953557,30.379689483637996
sharpe,1.4399853548818478,1.5226557944157362,1.3031010865618842,1.8508337670528787,0.6373655172753349
sortino,2.2056636223954924,2.4299930076869964,1.985198124516138,2.879097149627784,0.8289570465809831
max_drawdown_pct,57.386696063906285,18.200000000000028,65.30391245593682,23.082825845587962,35.574953853453415
calmar,2.024159070752437,1.5392075928127151,1.4845725318502119,2.462085722698002,0.44741696327990776
longest_dd_days,514,509,624,721,1245
pct_positive_days,36.59359190556493,40.1940109658372,37.85834738617201,47.26134585289515,36.99273814609141
pct_positive_months,54.54545454545454,59.74025974025974,55.84415584415584,57.831325301204814,43.42105263157895
best_month_pct,95.00284658629126,17.43452222297981,94.24214042684804,44.83007619574264,38.61135048142863
worst_month_pct,-27.549431086959096,-6.461513696953891,-30.638694769259878,-9.63480789772616,-9.07042109207098
best_year_pct,488.01637377051475,70.35051371399321,318.7701464566064,122.31011432676549,41.18185265017957
worst_year_pct,0.04224711535878445,5.621675901180745,10.215574834049534,-3.6665160448537515,-13.761584083709778
daily_skew,2.4659734834483706,2.6338395472015845,2.319547764729407,4.150601568385806,0.5161255399491755
daily_kurtosis,22.539875508975946,27.737212529451476,22.53496949794414,65.54773277813928,5.680347154620165
var95_daily_pct,-4.6744028330637635,-1.068500809088474,-4.716754968652927,-1.3371970238726383,-2.246317852320534
cvar95_daily_pct,-7.032230642382737,-1.7102085891509147,-7.222415135554611,-2.447769309694131,-3.7130642208897733
t_stat_daily_mean,3.669613334461966,3.8794700571866496,3.320781775445018,4.896127589851008,1.613593583169722
n_days,2372,2371,2372,2556,2341
