,g_sep,g_net,t_sep,t_net,fund_delta_b3
2020-02-01,0.2022617473911986,0.2022617473911986,0.0,0.0,-6.262781938031243e-05
2020-02-02,0.21062999999999998,0.21062999999999998,0.1320517473911986,0.1320517473911986,-0.000169142911
2020-02-03,0.14042000000000002,0.14042000000000002,0.07021000000000002,0.07021000000000002,-4.212600000000001e-05
2020-02-04,0.14042,0.14042,2.7755575615628914e-17,2.7755575615628914e-17,-0.0001273300476
2020-02-05,0.26062783507219967,0.26062783507219967,0.26062783507219967,0.26062783507219967,-0.0003376465842051084
2020-02-06,0.07021000000000001,0.07021000000000001,0.19041783507219964,0.19041783507219964,0.0
2020-02-07,0.1965519280358066,0.1965519280358066,0.12634192803580663,0.12634192803580663,-0.00023215327012202324
2020-02-08,0.14042,0.14042,0.056131928035806605,0.056131928035806605,-0.00011764668439999999
2020-02-09,0.07021000000000001,0.07021000000000001,0.07021000000000001,0.07021000000000001,0.0
2020-02-10,0.0,0.0,0.07021000000000001,0.07021000000000001,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.07021,0.07021,0.07021,0.07021,-0.0001691611656
2020-02-15,0.0,0.0,0.07021,0.07021,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.049146999999999996,0.049146999999999996,0.049146999999999996,0.049146999999999996,0.00010179228346
2020-03-05,0.049146999999999996,0.049146999999999996,0.0,0.0,0.00025073226696
2020-03-06,0.049146999999999996,0.049146999999999996,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.049146999999999996,0.049146999999999996,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.010386197521854119,0.010386197521854119,0.010386197521854119,0.010386197521854119,4.5766992795067817e-07
2020-03-17,0.0,0.0,0.010386197521854119,0.010386197521854119,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,0.0
2020-03-30,0.0,0.0,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0
2020-04-02,0.07673288583668841,0.07673288583668841,0.07673288583668841,0.07673288583668841,4.773435557028895e-06
2020-04-03,0.10039636136846995,0.10039636136846995,0.04202531305784484,0.04202531305784484,1.4043414536937246e-05
2020-04-04,0.11400335158285109,0.11400335158285109,0.014548250759943634,0.014548250759943634,-2.0293980172815956e-05
2020-04-05,0.11487342360808103,0.11487342360808103,0.002462654407508723,0.002462654407508723,-2.2616371783008244e-05
2020-04-06,0.17247542373825944,0.17247542373825944,0.14190503363315599,0.14190503363315599,-9.372521824776864e-05
2020-04-07,0.061445995703666045,0.061445995703666045,0.11102942803459338,0.11102942803459338,-2.549669803702844e-05
2020-04-08,0.06158530799314665,0.06158530799314665,0.00022334506717039274,0.00022334506717039274,-3.0972547102084333e-05
2020-04-09,0.06184613225972686,0.06184613225972686,0.00752087193909662,0.00752087193909662,-2.713321360712112e-05
2020-04-10,0.0,0.0,0.06184613225972686,0.06184613225972686,0.0
2020-04-11,0.0,0.0,0.0,0.0,0.0
2020-04-12,0.024573499999999998,0.024573499999999998,0.024573499999999998,0.024573499999999998,3.2682263530000003e-05
2020-04-13,0.0159465075497665,0.0159465075497665,0.0086269924502335,0.0086269924502335,0.00011713730371786677
2020-04-14,0.03027262371961924,0.03027262371961924,0.03482088383014726,0.03482088383014726,0.0001842998389152945
2020-04-15,0.021003986684354655,0.021003986684354655,0.009268637035264586,0.009268637035264586,9.082837977862221e-05
2020-04-16,0.01633887260189198,0.01633887260189198,0.0046651140824626736,0.0046651140824626736,0.00011081873019978441
2020-04-17,0.01833078466835497,0.01833078466835497,0.00199191206646299,0.00199191206646299,0.0001998231504383508
2020-04-18,0.09652720637451798,0.09652720637451798,0.078196421706163,0.078196421706163,0.00021588435935552828
2020-04-19,0.0975835262082783,0.0975835262082783,0.0010563198337603316,0.0010563198337603316,0.00021495139978120132
2020-04-20,0.0,0.0,0.09758352620827832,0.09758352620827832,0.0
2020-04-21,0.0,0.0,0.0,0.0,0.0
2020-04-22,0.004914699999999999,0.004914699999999999,0.004914699999999999,0.004914699999999999,-6.227907840000001e-07
2020-04-23,0.08814770061357804,0.08814770061357804,0.08323300061357805,0.08323300061357805,7.27653898353477e-06
2020-04-24,0.0737205,0.0737205,0.03471979938642195,0.03471979938642195,0.00011089381638999999
2020-04-25,0.0737205,0.0737205,0.0,0.0,-7.844844140000001e-06
2020-04-26,0.09829399999999999,0.09829399999999999,0.024573499999999998,0.024573499999999998,1.847337436e-05
2020-04-27,0.08821258197991033,0.08821258197991033,0.03906558197991034,0.03906558197991034,-5.292754918794621e-05
2020-04-28,0.11936800760030244,0.11936800760030244,0.031155425620392113,0.031155425620392113,-7.252825132745049e-05
2020-04-29,0.12083103428051731,0.12083103428051731,0.11085920592348422,0.11085920592348422,-0.00011203424009854341
2020-04-30,0.02667798348737991,0.02667798348737991,0.0941530507931374,0.0941530507931374,4.794575621003325e-05
2020-05-01,0.029219322375248397,0.029219322375248397,0.002541338887868483,0.002541338887868483,1.9243615116313166e-05
2020-05-02,0.050468026047390015,0.050468026047390015,0.030096093427483137,0.030096093427483137,-4.7906832813798906e-05
2020-05-03,0.051905837129514416,0.051905837129514416,0.0014378110821244004,0.0014378110821244004,-3.3325317830505075e-05
2020-05-04,0.01792957512752767,0.01792957512752767,0.04175654516885892,0.04175654516885892,2.854866482305806e-06
2020-05-05,0.01573260124188013,0.01573260124188013,0.0021969738856475376,0.0021969738856475376,-3.522844070081799e-06
2020-05-06,0.020005491552687823,0.020005491552687823,0.01564775642852631,0.01564775642852631,-4.055567806327242e-07
2020-05-07,0.032124927865447475,0.032124927865447475,0.017106916947906326,0.017106916947906326,-1.5394579996329642e-05
2020-05-08,0.00968819576927127,0.00968819576927127,0.026710267903823783,0.026710267903823783,-2.9939431385779008e-06
2020-05-09,0.02934242426236687,0.02934242426236687,0.029492771506904394,0.029492771506904394,-2.8134691619999998e-05
2020-05-10,0.049146999999999996,0.049146999999999996,0.07848942426236687,0.07848942426236687,7.185316983369862e-05
2020-05-11,0.0670863820212059,0.0670863820212059,0.017939382021205902,0.017939382021205902,5.716048802482063e-05
2020-05-12,0.04914699999999998,0.04914699999999998,0.017939382021205916,0.017939382021205916,5.6418063013698617e-05
2020-05-13,0.022151841170871118,0.022151841170871118,0.026995158829128865,0.026995158829128865,2.5429099864643834e-05
2020-05-14,0.0,0.0,0.022151841170871118,0.022151841170871118,0.0
2020-05-15,0.0,0.0,0.0,0.0,0.0
2020-05-16,0.0,0.0,0.0,0.0,0.0
2020-05-17,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0
2020-05-19,0.0,0.0,0.0,0.0,0.0
