,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2020-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,XRPUSDT,TRXUSDT,EOSUSDT,LTCUSDT,VETUSDT,LINKUSDT,BTTUSDT,ETCUSDT,ATOMUSDT,XTZUSDT,WINUSDT,ADAUSDT,FETUSDT,IOSTUSDT,ZECUSDT,XMRUSDT
2020-02,BTCUSDT,ETHUSDT,BCHUSDT,ETCUSDT,EOSUSDT,XRPUSDT,LTCUSDT,BNBUSDT,TRXUSDT,DASHUSDT,LINKUSDT,ADAUSDT,ZECUSDT,XLMUSDT,BTTUSDT,ATOMUSDT,MATICUSDT,VETUSDT,XMRUSDT,XTZUSDT
2020-03,BTCUSDT,ETHUSDT,BCHUSDT,XRPUSDT,BNBUSDT,EOSUSDT,LTCUSDT,ETCUSDT,LINKUSDT,TRXUSDT,ADAUSDT,XTZUSDT,XLMUSDT,DASHUSDT,ZECUSDT,ICXUSDT,NEOUSDT,VETUSDT,MATICUSDT,ONTUSDT
2020-04,BTCUSDT,ETHUSDT,BCHUSDT,LINKUSDT,BNBUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,BEARUSDT,TRXUSDT,ADAUSDT,DASHUSDT,BULLUSDT,MATICUSDT,ZECUSDT,WRXUSDT,VETUSDT,NEOUSDT
2020-05,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,DASHUSDT,ADAUSDT,TRXUSDT,XLMUSDT,ZECUSDT,VETUSDT,XMRUSDT,WRXUSDT,MATICUSDT,NEOUSDT
2020-06,BTCUSDT,ETHUSDT,BNBUSDT,BCHUSDT,XRPUSDT,LINKUSDT,EOSUSDT,LTCUSDT,ADAUSDT,ETCUSDT,XTZUSDT,TRXUSDT,XLMUSDT,MATICUSDT,VETUSDT,NEOUSDT,ONTUSDT,ZECUSDT,THETAUSDT,DASHUSDT
2020-07,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,BCHUSDT,VETUSDT,XRPUSDT,EOSUSDT,LINKUSDT,LTCUSDT,ZILUSDT,TRXUSDT,XTZUSDT,XLMUSDT,ONTUSDT,ETCUSDT,IOSTUSDT,ZECUSDT,MATICUSDT,NEOUSDT
2020-08,BTCUSDT,ETHUSDT,LINKUSDT,ADAUSDT,BNBUSDT,XRPUSDT,VETUSDT,BCHUSDT,XLMUSDT,EOSUSDT,XTZUSDT,LTCUSDT,TRXUSDT,ETCUSDT,ONTUSDT,ERDUSDT,ATOMUSDT,ZECUSDT,ALGOUSDT,DOGEUSDT
2020-09,BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BNBUSDT,EOSUSDT,BCHUSDT,LTCUSDT,XTZUSDT,ADAUSDT,BANDUSDT,TRXUSDT,VETUSDT,ZECUSDT,ATOMUSDT,OMGUSDT,ALGOUSDT,QTUMUSDT,ONTUSDT,XLMUSDT
2020-10,BTCUSDT,ETHUSDT,LINKUSDT,BNBUSDT,TRXUSDT,XRPUSDT,YFIUSDT,EOSUSDT,SXPUSDT,BCHUSDT,ADAUSDT,LTCUSDT,VETUSDT,NEOUSDT,BANDUSDT,ONTUSDT,CRVUSDT,ZECUSDT,SRMUSDT,IOSTUSDT
2020-11,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,YFIUSDT,XRPUSDT,LTCUSDT,UNIUSDT,ADAUSDT,DOTUSDT,TRXUSDT,EOSUSDT,YFIIUSDT,SXPUSDT,XMRUSDT,VETUSDT,ZECUSDT,NEOUSDT,ATOMUSDT
2020-12,BTCUSDT,ETHUSDT,XRPUSDT,LINKUSDT,YFIUSDT,LTCUSDT,BNBUSDT,BCHUSDT,ADAUSDT,EOSUSDT,XLMUSDT,UNIUSDT,TRXUSDT,DOTUSDT,SXPUSDT,ETCUSDT,YFIIUSDT,ZECUSDT,FILUSDT,VETUSDT
2021-01,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,BCHUSDT,BNBUSDT,LINKUSDT,ADAUSDT,XLMUSDT,DOTUSDT,EOSUSDT,YFIUSDT,TRXUSDT,SUSHIUSDT,ZILUSDT,VETUSDT,UNIUSDT,FILUSDT,AAVEUSDT,THETAUSDT
2021-02,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,DOTUSDT,LINKUSDT,ADAUSDT,BNBUSDT,BCHUSDT,XLMUSDT,DOGEUSDT,EOSUSDT,TRXUSDT,UNIUSDT,YFIUSDT,VETUSDT,SUSHIUSDT,GRTUSDT,AAVEUSDT,SXPUSDT
2021-03,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,DOTUSDT,LTCUSDT,LINKUSDT,EOSUSDT,XLMUSDT,BCHUSDT,GRTUSDT,UNIUSDT,SXPUSDT,TRXUSDT,AAVEUSDT,VETUSDT,SUSHIUSDT,1INCHUSDT
2021-04,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,CHZUSDT,XRPUSDT,DOTUSDT,LTCUSDT,FILUSDT,ENJUSDT,THETAUSDT,BTTUSDT,VETUSDT,TRXUSDT,HOTUSDT,SXPUSDT,LINKUSDT,LUNAUSDT,UNIUSDT,DOGEUSDT
2021-05,BTCUSDT,BNBUSDT,DOGEUSDT,ETHUSDT,XRPUSDT,ADAUSDT,WINUSDT,BTTUSDT,TRXUSDT,CHZUSDT,VETUSDT,DOTUSDT,LTCUSDT,HOTUSDT,FILUSDT,EOSUSDT,LINKUSDT,BCHUSDT,DENTUSDT,SXPUSDT
2021-06,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,ADAUSDT,MATICUSDT,ETCUSDT,DOTUSDT,EOSUSDT,LTCUSDT,LINKUSDT,VETUSDT,BCHUSDT,TRXUSDT,SOLUSDT,XLMUSDT,FILUSDT,BTTUSDT,SXPUSDT
2021-07,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,XRPUSDT,DOTUSDT,SOLUSDT,SHIBUSDT,LINKUSDT,FILUSDT,VETUSDT,THETAUSDT,LTCUSDT,CHZUSDT,ETCUSDT,TFUELUSDT,EOSUSDT,ICPUSDT
2021-08,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,AXSUSDT,XRPUSDT,MATICUSDT,DOTUSDT,LINKUSDT,THETAUSDT,ETCUSDT,SOLUSDT,EOSUSDT,ALICEUSDT,TLMUSDT,SHIBUSDT,LTCUSDT,ICPUSDT,AAVEUSDT
2021-09,BTCUSDT,ETHUSDT,ADAUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,DOTUSDT,AXSUSDT,MATICUSDT,LUNAUSDT,ALICEUSDT,ICPUSDT,LINKUSDT,FILUSDT,ETCUSDT,AVAXUSDT,THETAUSDT,TLMUSDT,VETUSDT
2021-10,BTCUSDT,ETHUSDT,SOLUSDT,ADAUSDT,DOTUSDT,AVAXUSDT,BNBUSDT,XRPUSDT,FTMUSDT,FILUSDT,LUNAUSDT,ATOMUSDT,FTTUSDT,DOGEUSDT,LINKUSDT,MATICUSDT,ALGOUSDT,TRXUSDT,LTCUSDT,OMGUSDT
2021-11,BTCUSDT,ETHUSDT,SHIBUSDT,DOGEUSDT,SOLUSDT,BNBUSDT,DOTUSDT,XRPUSDT,ADAUSDT,FTMUSDT,AXSUSDT,FILUSDT,MATICUSDT,AVAXUSDT,LUNAUSDT,TRXUSDT,LINKUSDT,OMGUSDT,ATOMUSDT,ONEUSDT
2021-12,BTCUSDT,SHIBUSDT,ETHUSDT,BNBUSDT,MANAUSDT,SANDUSDT,SOLUSDT,DOTUSDT,XRPUSDT,AVAXUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,LRCUSDT,GALAUSDT,LTCUSDT,OMGUSDT,FTMUSDT,FILUSDT,SLPUSDT
2022-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,SANDUSDT,LUNAUSDT,SHIBUSDT,SOLUSDT,XRPUSDT,GALAUSDT,AVAXUSDT,DOTUSDT,DOGEUSDT,MANAUSDT,ADAUSDT,FTMUSDT,NEARUSDT,TRXUSDT,FILUSDT,LINKUSDT
2022-02,BTCUSDT,ETHUSDT,FTMUSDT,BNBUSDT,LUNAUSDT,SOLUSDT,ADAUSDT,ATOMUSDT,DOTUSDT,LINKUSDT,MATICUSDT,SANDUSDT,SHIBUSDT,XRPUSDT,NEARUSDT,DOGEUSDT,GALAUSDT,AVAXUSDT,ROSEUSDT,ICPUSDT
2022-03,BTCUSDT,ETHUSDT,SHIBUSDT,XRPUSDT,LUNAUSDT,BNBUSDT,SOLUSDT,GALAUSDT,AVAXUSDT,SANDUSDT,FTMUSDT,SLPUSDT,ADAUSDT,DOTUSDT,MANAUSDT,MATICUSDT,TRXUSDT,ATOMUSDT,DOGEUSDT,NEARUSDT
2022-04,BTCUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT,BNBUSDT,AVAXUSDT,FTMUSDT,SHIBUSDT,GALAUSDT,ADAUSDT,WAVESUSDT,DOTUSDT,SANDUSDT,NEARUSDT,ETCUSDT,ATOMUSDT,TRXUSDT,RUNEUSDT,JASMYUSDT
2022-05,BTCUSDT,GMTUSDT,ETHUSDT,APEUSDT,LUNAUSDT,SOLUSDT,DOGEUSDT,NEARUSDT,BNBUSDT,ZILUSDT,SHIBUSDT,XRPUSDT,AVAXUSDT,FTMUSDT,ADAUSDT,TRXUSDT,WAVESUSDT,JASMYUSDT,DOTUSDT,GALAUSDT
2022-06,BTCUSDT,ETHUSDT,GMTUSDT,BNBUSDT,APEUSDT,SOLUSDT,TRXUSDT,XRPUSDT,ADAUSDT,AVAXUSDT,NEARUSDT,FTMUSDT,SHIBUSDT,DOTUSDT,GALAUSDT,DOGEUSDT,SANDUSDT,ZILUSDT,MATICUSDT,AXSUSDT
2022-07,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,ADAUSDT,TRXUSDT,XRPUSDT,GMTUSDT,AVAXUSDT,DOGEUSDT,SHIBUSDT,APEUSDT,GALAUSDT,LINKUSDT,MATICUSDT,NEARUSDT,WAVESUSDT,DOTUSDT,SANDUSDT,FTMUSDT
2022-08,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,MATICUSDT,ADAUSDT,XRPUSDT,GMTUSDT,AVAXUSDT,APEUSDT,ETCUSDT,SHIBUSDT,DOGEUSDT,SANDUSDT,DOTUSDT,RUNEUSDT,NEARUSDT,TRXUSDT,ATOMUSDT,FTMUSDT
2022-09,BTCUSDT,ETHUSDT,BNBUSDT,ETCUSDT,SOLUSDT,SHIBUSDT,ADAUSDT,DOGEUSDT,XRPUSDT,MATICUSDT,AVAXUSDT,CHZUSDT,NEARUSDT,OPUSDT,APEUSDT,GMTUSDT,FILUSDT,DOTUSDT,LINKUSDT,ATOMUSDT
2022-10,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ETCUSDT,SOLUSDT,ADAUSDT,CHZUSDT,ATOMUSDT,SHIBUSDT,MATICUSDT,LINKUSDT,APEUSDT,DOGEUSDT,NEARUSDT,DOTUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,RVNUSDT
2022-11,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,BNBUSDT,SOLUSDT,SHIBUSDT,MATICUSDT,LUNCUSDT,ADAUSDT,CHZUSDT,TRXUSDT,ATOMUSDT,LINKUSDT,ETCUSDT,AVAXUSDT,NEARUSDT,DOTUSDT,APEUSDT,QNTUSDT
2022-12,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,MATICUSDT,CHZUSDT,LTCUSDT,LINKUSDT,ADAUSDT,SHIBUSDT,MASKUSDT,TRXUSDT,ATOMUSDT,APEUSDT,ALGOUSDT,NEARUSDT,DOTUSDT,DYDXUSDT
2023-01,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,LTCUSDT,MATICUSDT,SOLUSDT,LINKUSDT,ADAUSDT,TRXUSDT,SHIBUSDT,APEUSDT,TWTUSDT,APTUSDT,CHZUSDT,DOTUSDT,MASKUSDT,FILUSDT,ATOMUSDT
