,0,1,2,3,4,5,6,7,8,9
2020-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,XRPUSDT,TRXUSDT,EOSUSDT,LTCUSDT,VETUSDT,LINKUSDT
2020-02,BTCUSDT,ETHUSDT,BCHUSDT,ETCUSDT,EOSUSDT,XRPUSDT,LTCUSDT,BNBUSDT,TRXUSDT,DASHUSDT
2020-03,BTCUSDT,ETHUSDT,BCHUSDT,XRPUSDT,BNBUSDT,EOSUSDT,LTCUSDT,ETCUSDT,LINKUSDT,TRXUSDT
2020-04,BTCUSDT,ETHUSDT,BCHUSDT,LINKUSDT,BNBUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT
2020-05,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT
2020-06,BTCUSDT,ETHUSDT,BNBUSDT,BCHUSDT,XRPUSDT,LINKUSDT,EOSUSDT,LTCUSDT,ADAUSDT,ETCUSDT
2020-07,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,BCHUSDT,VETUSDT,XRPUSDT,EOSUSDT,LINKUSDT,LTCUSDT
2020-08,BTCUSDT,ETHUSDT,LINKUSDT,ADAUSDT,BNBUSDT,XRPUSDT,VETUSDT,BCHUSDT,XLMUSDT,EOSUSDT
2020-09,BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BNBUSDT,EOSUSDT,BCHUSDT,LTCUSDT,XTZUSDT,ADAUSDT
2020-10,BTCUSDT,ETHUSDT,LINKUSDT,BNBUSDT,TRXUSDT,XRPUSDT,YFIUSDT,EOSUSDT,SXPUSDT,BCHUSDT
2020-11,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,YFIUSDT,XRPUSDT,LTCUSDT,UNIUSDT,ADAUSDT
2020-12,BTCUSDT,ETHUSDT,XRPUSDT,LINKUSDT,YFIUSDT,LTCUSDT,BNBUSDT,BCHUSDT,ADAUSDT,EOSUSDT
2021-01,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,BCHUSDT,BNBUSDT,LINKUSDT,ADAUSDT,XLMUSDT,DOTUSDT
2021-02,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,DOTUSDT,LINKUSDT,ADAUSDT,BNBUSDT,BCHUSDT,XLMUSDT
2021-03,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,DOTUSDT,LTCUSDT,LINKUSDT,EOSUSDT
2021-04,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,CHZUSDT,XRPUSDT,DOTUSDT,LTCUSDT,FILUSDT,ENJUSDT
2021-05,BTCUSDT,BNBUSDT,DOGEUSDT,ETHUSDT,XRPUSDT,ADAUSDT,WINUSDT,BTTUSDT,TRXUSDT,CHZUSDT
2021-06,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,ADAUSDT,MATICUSDT,ETCUSDT,DOTUSDT,EOSUSDT
2021-07,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,XRPUSDT,DOTUSDT,SOLUSDT,SHIBUSDT
2021-08,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,AXSUSDT,XRPUSDT,MATICUSDT,DOTUSDT,LINKUSDT
2021-09,BTCUSDT,ETHUSDT,ADAUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,DOTUSDT,AXSUSDT,MATICUSDT
2021-10,BTCUSDT,ETHUSDT,SOLUSDT,ADAUSDT,DOTUSDT,AVAXUSDT,BNBUSDT,XRPUSDT,FTMUSDT,FILUSDT
2021-11,BTCUSDT,ETHUSDT,SHIBUSDT,DOGEUSDT,SOLUSDT,BNBUSDT,DOTUSDT,XRPUSDT,ADAUSDT,FTMUSDT
2021-12,BTCUSDT,SHIBUSDT,ETHUSDT,BNBUSDT,MANAUSDT,SANDUSDT,SOLUSDT,DOTUSDT,XRPUSDT,AVAXUSDT
