,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2020-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,XRPUSDT,TRXUSDT,EOSUSDT,LTCUSDT,VETUSDT,LINKUSDT,BTTUSDT,ETCUSDT,ATOMUSDT,XTZUSDT,WINUSDT
2020-02,BTCUSDT,ETHUSDT,BCHUSDT,ETCUSDT,EOSUSDT,XRPUSDT,LTCUSDT,BNBUSDT,TRXUSDT,DASHUSDT,LINKUSDT,ADAUSDT,ZECUSDT,XLMUSDT,BTTUSDT
2020-03,BTCUSDT,ETHUSDT,BCHUSDT,XRPUSDT,BNBUSDT,EOSUSDT,LTCUSDT,ETCUSDT,LINKUSDT,TRXUSDT,ADAUSDT,XTZUSDT,XLMUSDT,DASHUSDT,ZECUSDT
2020-04,BTCUSDT,ETHUSDT,BCHUSDT,LINKUSDT,BNBUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,BEARUSDT,TRXUSDT,ADAUSDT,DASHUSDT,BULLUSDT
2020-05,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,DASHUSDT,ADAUSDT,TRXUSDT,XLMUSDT,ZECUSDT
2020-06,BTCUSDT,ETHUSDT,BNBUSDT,BCHUSDT,XRPUSDT,LINKUSDT,EOSUSDT,LTCUSDT,ADAUSDT,ETCUSDT,XTZUSDT,TRXUSDT,XLMUSDT,MATICUSDT,VETUSDT
2020-07,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,BCHUSDT,VETUSDT,XRPUSDT,EOSUSDT,LINKUSDT,LTCUSDT,ZILUSDT,TRXUSDT,XTZUSDT,XLMUSDT,ONTUSDT
2020-08,BTCUSDT,ETHUSDT,LINKUSDT,ADAUSDT,BNBUSDT,XRPUSDT,VETUSDT,BCHUSDT,XLMUSDT,EOSUSDT,XTZUSDT,LTCUSDT,TRXUSDT,ETCUSDT,ONTUSDT
2020-09,BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BNBUSDT,EOSUSDT,BCHUSDT,LTCUSDT,XTZUSDT,ADAUSDT,BANDUSDT,TRXUSDT,VETUSDT,ZECUSDT,ATOMUSDT
2020-10,BTCUSDT,ETHUSDT,LINKUSDT,BNBUSDT,TRXUSDT,XRPUSDT,YFIUSDT,EOSUSDT,SXPUSDT,BCHUSDT,ADAUSDT,LTCUSDT,VETUSDT,NEOUSDT,BANDUSDT
2020-11,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,YFIUSDT,XRPUSDT,LTCUSDT,UNIUSDT,ADAUSDT,DOTUSDT,TRXUSDT,EOSUSDT,YFIIUSDT,SXPUSDT
2020-12,BTCUSDT,ETHUSDT,XRPUSDT,LINKUSDT,YFIUSDT,LTCUSDT,BNBUSDT,BCHUSDT,ADAUSDT,EOSUSDT,XLMUSDT,UNIUSDT,TRXUSDT,DOTUSDT,SXPUSDT
2021-01,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,BCHUSDT,BNBUSDT,LINKUSDT,ADAUSDT,XLMUSDT,DOTUSDT,EOSUSDT,YFIUSDT,TRXUSDT,SUSHIUSDT,ZILUSDT
2021-02,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,DOTUSDT,LINKUSDT,ADAUSDT,BNBUSDT,BCHUSDT,XLMUSDT,DOGEUSDT,EOSUSDT,TRXUSDT,UNIUSDT,YFIUSDT
2021-03,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,DOTUSDT,LTCUSDT,LINKUSDT,EOSUSDT,XLMUSDT,BCHUSDT,GRTUSDT,UNIUSDT,SXPUSDT
2021-04,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,CHZUSDT,XRPUSDT,DOTUSDT,LTCUSDT,FILUSDT,ENJUSDT,THETAUSDT,BTTUSDT,VETUSDT,TRXUSDT,HOTUSDT
2021-05,BTCUSDT,BNBUSDT,DOGEUSDT,ETHUSDT,XRPUSDT,ADAUSDT,WINUSDT,BTTUSDT,TRXUSDT,CHZUSDT,VETUSDT,DOTUSDT,LTCUSDT,HOTUSDT,FILUSDT
2021-06,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,ADAUSDT,MATICUSDT,ETCUSDT,DOTUSDT,EOSUSDT,LTCUSDT,LINKUSDT,VETUSDT,BCHUSDT,TRXUSDT
2021-07,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,XRPUSDT,DOTUSDT,SOLUSDT,SHIBUSDT,LINKUSDT,FILUSDT,VETUSDT,THETAUSDT,LTCUSDT
2021-08,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,AXSUSDT,XRPUSDT,MATICUSDT,DOTUSDT,LINKUSDT,THETAUSDT,ETCUSDT,SOLUSDT,EOSUSDT,ALICEUSDT
2021-09,BTCUSDT,ETHUSDT,ADAUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,DOTUSDT,AXSUSDT,MATICUSDT,LUNAUSDT,ALICEUSDT,ICPUSDT,LINKUSDT,FILUSDT
2021-10,BTCUSDT,ETHUSDT,SOLUSDT,ADAUSDT,DOTUSDT,AVAXUSDT,BNBUSDT,XRPUSDT,FTMUSDT,FILUSDT,LUNAUSDT,ATOMUSDT,FTTUSDT,DOGEUSDT,LINKUSDT
2021-11,BTCUSDT,ETHUSDT,SHIBUSDT,DOGEUSDT,SOLUSDT,BNBUSDT,DOTUSDT,XRPUSDT,ADAUSDT,FTMUSDT,AXSUSDT,FILUSDT,MATICUSDT,AVAXUSDT,LUNAUSDT
2021-12,BTCUSDT,SHIBUSDT,ETHUSDT,BNBUSDT,MANAUSDT,SANDUSDT,SOLUSDT,DOTUSDT,XRPUSDT,AVAXUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,LRCUSDT,GALAUSDT
2022-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,SANDUSDT,LUNAUSDT,SHIBUSDT,SOLUSDT,XRPUSDT,GALAUSDT,AVAXUSDT,DOTUSDT,DOGEUSDT,MANAUSDT,ADAUSDT
2022-02,BTCUSDT,ETHUSDT,FTMUSDT,BNBUSDT,LUNAUSDT,SOLUSDT,ADAUSDT,ATOMUSDT,DOTUSDT,LINKUSDT,MATICUSDT,SANDUSDT,SHIBUSDT,XRPUSDT,NEARUSDT
2022-03,BTCUSDT,ETHUSDT,SHIBUSDT,XRPUSDT,LUNAUSDT,BNBUSDT,SOLUSDT,GALAUSDT,AVAXUSDT,SANDUSDT,FTMUSDT,SLPUSDT,ADAUSDT,DOTUSDT,MANAUSDT
