,0,1,2,3,4,5,6,7,8,9
2020-01,BNBUSDT,MATICUSDT,XRPUSDT,TRXUSDT,EOSUSDT,LTCUSDT,VETUSDT,LINKUSDT,BTTUSDT,ETCUSDT
2020-02,BCHUSDT,ETCUSDT,EOSUSDT,XRPUSDT,LTCUSDT,BNBUSDT,TRXUSDT,DASHUSDT,LINKUSDT,ADAUSDT
2020-03,BCHUSDT,XRPUSDT,BNBUSDT,EOSUSDT,LTCUSDT,ETCUSDT,LINKUSDT,TRXUSDT,ADAUSDT,XTZUSDT
2020-04,BCHUSDT,LINKUSDT,BNBUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,BEARUSDT,TRXUSDT
2020-05,BNBUSDT,LINKUSDT,BCHUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,DASHUSDT,ADAUSDT
2020-06,BNBUSDT,BCHUSDT,XRPUSDT,EOSUSDT,LINKUSDT,LTCUSDT,ADAUSDT,ETCUSDT,XTZUSDT,TRXUSDT
2020-07,ADAUSDT,BNBUSDT,BCHUSDT,VETUSDT,XRPUSDT,EOSUSDT,LINKUSDT,LTCUSDT,ZILUSDT,TRXUSDT
2020-08,LINKUSDT,ADAUSDT,BNBUSDT,XRPUSDT,VETUSDT,BCHUSDT,XLMUSDT,EOSUSDT,XTZUSDT,LTCUSDT
2020-09,LINKUSDT,XRPUSDT,BNBUSDT,EOSUSDT,BCHUSDT,LTCUSDT,XTZUSDT,ADAUSDT,BANDUSDT,TRXUSDT
2020-10,LINKUSDT,BNBUSDT,TRXUSDT,XRPUSDT,YFIUSDT,EOSUSDT,SXPUSDT,BCHUSDT,ADAUSDT,LTCUSDT
2020-11,BNBUSDT,LINKUSDT,BCHUSDT,YFIUSDT,XRPUSDT,LTCUSDT,UNIUSDT,ADAUSDT,DOTUSDT,EOSUSDT
2020-12,XRPUSDT,LINKUSDT,YFIUSDT,LTCUSDT,BNBUSDT,BCHUSDT,ADAUSDT,EOSUSDT,XLMUSDT,UNIUSDT
2021-01,XRPUSDT,LTCUSDT,BCHUSDT,BNBUSDT,LINKUSDT,ADAUSDT,XLMUSDT,DOTUSDT,EOSUSDT,YFIUSDT
2021-02,XRPUSDT,LTCUSDT,DOTUSDT,LINKUSDT,ADAUSDT,BNBUSDT,BCHUSDT,XLMUSDT,DOGEUSDT,EOSUSDT
2021-03,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,DOTUSDT,LTCUSDT,LINKUSDT,EOSUSDT,XLMUSDT,BCHUSDT
2021-04,BNBUSDT,ADAUSDT,CHZUSDT,XRPUSDT,DOTUSDT,LTCUSDT,FILUSDT,ENJUSDT,THETAUSDT,BTTUSDT
2021-05,BNBUSDT,DOGEUSDT,XRPUSDT,ADAUSDT,WINUSDT,BTTUSDT,TRXUSDT,CHZUSDT,VETUSDT,DOTUSDT
2021-06,DOGEUSDT,BNBUSDT,XRPUSDT,ADAUSDT,MATICUSDT,ETCUSDT,DOTUSDT,EOSUSDT,LTCUSDT,LINKUSDT
2021-07,BNBUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,XRPUSDT,DOTUSDT,SOLUSDT,SHIBUSDT,LINKUSDT,FILUSDT
2021-08,BNBUSDT,DOGEUSDT,ADAUSDT,AXSUSDT,XRPUSDT,DOTUSDT,MATICUSDT,LINKUSDT,THETAUSDT,ETCUSDT
2021-09,ADAUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,DOTUSDT,AXSUSDT,MATICUSDT,LUNAUSDT,ALICEUSDT
2021-10,SOLUSDT,ADAUSDT,DOTUSDT,AVAXUSDT,BNBUSDT,XRPUSDT,FTMUSDT,FILUSDT,LUNAUSDT,ATOMUSDT
2021-11,SHIBUSDT,DOGEUSDT,SOLUSDT,BNBUSDT,DOTUSDT,XRPUSDT,ADAUSDT,FTMUSDT,AXSUSDT,FILUSDT
2021-12,SHIBUSDT,BNBUSDT,MANAUSDT,SANDUSDT,SOLUSDT,DOTUSDT,XRPUSDT,AVAXUSDT,ADAUSDT,DOGEUSDT
2022-01,BNBUSDT,MATICUSDT,LUNAUSDT,SANDUSDT,SHIBUSDT,SOLUSDT,XRPUSDT,GALAUSDT,AVAXUSDT,DOTUSDT
2022-02,FTMUSDT,BNBUSDT,LUNAUSDT,SOLUSDT,ADAUSDT,ATOMUSDT,DOTUSDT,LINKUSDT,MATICUSDT,SANDUSDT
2022-03,SHIBUSDT,XRPUSDT,LUNAUSDT,BNBUSDT,SOLUSDT,GALAUSDT,AVAXUSDT,SANDUSDT,FTMUSDT,SLPUSDT
2022-04,LUNAUSDT,SOLUSDT,XRPUSDT,BNBUSDT,AVAXUSDT,FTMUSDT,SHIBUSDT,GALAUSDT,ADAUSDT,WAVESUSDT
2022-05,GMTUSDT,APEUSDT,LUNAUSDT,SOLUSDT,DOGEUSDT,NEARUSDT,BNBUSDT,ZILUSDT,SHIBUSDT,XRPUSDT
2022-06,GMTUSDT,BNBUSDT,APEUSDT,SOLUSDT,TRXUSDT,XRPUSDT,ADAUSDT,AVAXUSDT,NEARUSDT,FTMUSDT
2022-07,SOLUSDT,BNBUSDT,ADAUSDT,TRXUSDT,XRPUSDT,GMTUSDT,AVAXUSDT,DOGEUSDT,SHIBUSDT,APEUSDT
