,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2020-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,XRPUSDT,TRXUSDT,EOSUSDT,LTCUSDT,VETUSDT,LINKUSDT,BTTUSDT,ETCUSDT,ATOMUSDT,XTZUSDT,WINUSDT,ADAUSDT,FETUSDT,IOSTUSDT,ZECUSDT,XMRUSDT,XLMUSDT,TOMOUSDT,ONTUSDT,WAVESUSDT,NEOUSDT,QTUMUSDT,DASHUSDT,ALGOUSDT,RVNUSDT,BATUSDT
2020-02,BTCUSDT,ETHUSDT,BCHUSDT,ETCUSDT,EOSUSDT,XRPUSDT,LTCUSDT,BNBUSDT,TRXUSDT,DASHUSDT,LINKUSDT,ADAUSDT,ZECUSDT,XLMUSDT,BTTUSDT,ATOMUSDT,MATICUSDT,VETUSDT,XMRUSDT,XTZUSDT,ONTUSDT,NEOUSDT,QTUMUSDT,IOSTUSDT,WINUSDT,IOTAUSDT,BATUSDT,FETUSDT,WAVESUSDT,ALGOUSDT
2020-03,BTCUSDT,ETHUSDT,BCHUSDT,XRPUSDT,BNBUSDT,EOSUSDT,LTCUSDT,ETCUSDT,LINKUSDT,TRXUSDT,ADAUSDT,XTZUSDT,XLMUSDT,DASHUSDT,ZECUSDT,ICXUSDT,NEOUSDT,VETUSDT,MATICUSDT,ONTUSDT,ATOMUSDT,QTUMUSDT,XMRUSDT,ALGOUSDT,IOSTUSDT,IOTAUSDT,HBARUSDT,BATUSDT,BTTUSDT,WAVESUSDT
2020-04,BTCUSDT,ETHUSDT,BCHUSDT,LINKUSDT,BNBUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,BEARUSDT,TRXUSDT,ADAUSDT,DASHUSDT,BULLUSDT,MATICUSDT,ZECUSDT,WRXUSDT,VETUSDT,NEOUSDT,XMRUSDT,XLMUSDT,QTUMUSDT,ATOMUSDT,ONTUSDT,HBARUSDT,IOSTUSDT,ALGOUSDT,ICXUSDT,BATUSDT
2020-05,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,XRPUSDT,EOSUSDT,LTCUSDT,XTZUSDT,ETCUSDT,DASHUSDT,ADAUSDT,TRXUSDT,XLMUSDT,ZECUSDT,VETUSDT,XMRUSDT,WRXUSDT,MATICUSDT,NEOUSDT,ATOMUSDT,ONTUSDT,ALGOUSDT,QTUMUSDT,BATUSDT,ICXUSDT,KAVAUSDT,BTTUSDT,IOSTUSDT,WAVESUSDT
2020-06,BTCUSDT,ETHUSDT,BNBUSDT,BCHUSDT,XRPUSDT,LINKUSDT,EOSUSDT,LTCUSDT,ADAUSDT,ETCUSDT,XTZUSDT,TRXUSDT,XLMUSDT,MATICUSDT,VETUSDT,NEOUSDT,ONTUSDT,ZECUSDT,THETAUSDT,DASHUSDT,XMRUSDT,BATUSDT,ZILUSDT,ZRXUSDT,IOSTUSDT,OMGUSDT,QTUMUSDT,ALGOUSDT,ATOMUSDT,TFUELUSDT
2020-07,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,BCHUSDT,VETUSDT,XRPUSDT,EOSUSDT,LINKUSDT,LTCUSDT,ZILUSDT,TRXUSDT,XTZUSDT,XLMUSDT,ONTUSDT,ETCUSDT,IOSTUSDT,ZECUSDT,MATICUSDT,NEOUSDT,THETAUSDT,BATUSDT,TFUELUSDT,ATOMUSDT,XMRUSDT,DASHUSDT,ERDUSDT,KAVAUSDT,ZRXUSDT,OGNUSDT
2020-08,BTCUSDT,ETHUSDT,LINKUSDT,ADAUSDT,BNBUSDT,XRPUSDT,VETUSDT,BCHUSDT,XLMUSDT,EOSUSDT,XTZUSDT,LTCUSDT,TRXUSDT,ETCUSDT,ONTUSDT,ERDUSDT,ATOMUSDT,ZECUSDT,ALGOUSDT,DOGEUSDT,KNCUSDT,QTUMUSDT,KAVAUSDT,XMRUSDT,IOSTUSDT,NEOUSDT,LENDUSDT,ZILUSDT,MATICUSDT,ZRXUSDT
2020-09,BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BNBUSDT,EOSUSDT,BCHUSDT,LTCUSDT,XTZUSDT,ADAUSDT,BANDUSDT,TRXUSDT,VETUSDT,ZECUSDT,ATOMUSDT,OMGUSDT,ALGOUSDT,QTUMUSDT,ONTUSDT,XLMUSDT,LENDUSDT,WAVESUSDT,NEOUSDT,KAVAUSDT,ETCUSDT,COMPUSDT,BATUSDT,IOSTUSDT,ZRXUSDT,DASHUSDT
2020-10,BTCUSDT,ETHUSDT,LINKUSDT,BNBUSDT,TRXUSDT,XRPUSDT,YFIUSDT,EOSUSDT,SXPUSDT,BCHUSDT,ADAUSDT,LTCUSDT,VETUSDT,NEOUSDT,BANDUSDT,ONTUSDT,CRVUSDT,ZECUSDT,SRMUSDT,IOSTUSDT,XTZUSDT,LENDUSDT,QTUMUSDT,ATOMUSDT,XLMUSDT,ETCUSDT,OMGUSDT,XMRUSDT,ALGOUSDT,THETAUSDT
