,0,1,2,3,4,5,6,7
2020-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,XRPUSDT,TRXUSDT,EOSUSDT,LTCUSDT
2020-02,BTCUSDT,ETHUSDT,BCHUSDT,ETCUSDT,EOSUSDT,XRPUSDT,LTCUSDT,BNBUSDT
2020-03,BTCUSDT,ETHUSDT,BCHUSDT,XRPUSDT,BNBUSDT,EOSUSDT,LTCUSDT,ETCUSDT
2020-04,BTCUSDT,ETHUSDT,BCHUSDT,LINKUSDT,BNBUSDT,XRPUSDT,EOSUSDT,LTCUSDT
2020-05,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,XRPUSDT,EOSUSDT,LTCUSDT
2020-06,BTCUSDT,ETHUSDT,BNBUSDT,BCHUSDT,XRPUSDT,LINKUSDT,EOSUSDT,LTCUSDT
2020-07,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,BCHUSDT,VETUSDT,XRPUSDT,EOSUSDT
2020-08,BTCUSDT,ETHUSDT,LINKUSDT,ADAUSDT,BNBUSDT,XRPUSDT,VETUSDT,BCHUSDT
2020-09,BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BNBUSDT,EOSUSDT,BCHUSDT,LTCUSDT
2020-10,BTCUSDT,ETHUSDT,LINKUSDT,BNBUSDT,TRXUSDT,XRPUSDT,YFIUSDT,EOSUSDT
2020-11,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT,YFIUSDT,XRPUSDT,LTCUSDT
2020-12,BTCUSDT,ETHUSDT,XRPUSDT,LINKUSDT,YFIUSDT,LTCUSDT,BNBUSDT,BCHUSDT
2021-01,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,BCHUSDT,BNBUSDT,LINKUSDT,ADAUSDT
2021-02,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,DOTUSDT,LINKUSDT,ADAUSDT,BNBUSDT
2021-03,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,DOTUSDT,LTCUSDT
2021-04,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,CHZUSDT,XRPUSDT,DOTUSDT,LTCUSDT
