,0,1,2,3,4
2020-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,XRPUSDT
2020-02,BTCUSDT,ETHUSDT,BCHUSDT,ETCUSDT,EOSUSDT
2020-03,BTCUSDT,ETHUSDT,BCHUSDT,XRPUSDT,BNBUSDT
2020-04,BTCUSDT,ETHUSDT,BCHUSDT,LINKUSDT,BNBUSDT
2020-05,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT
2020-06,BTCUSDT,ETHUSDT,BNBUSDT,BCHUSDT,XRPUSDT
2020-07,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,BCHUSDT
2020-08,BTCUSDT,ETHUSDT,LINKUSDT,ADAUSDT,BNBUSDT
2020-09,BTCUSDT,ETHUSDT,LINKUSDT,XRPUSDT,BNBUSDT
2020-10,BTCUSDT,ETHUSDT,LINKUSDT,BNBUSDT,TRXUSDT
2020-11,BTCUSDT,ETHUSDT,BNBUSDT,LINKUSDT,BCHUSDT
2020-12,BTCUSDT,ETHUSDT,XRPUSDT,LINKUSDT,YFIUSDT
2021-01,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,BCHUSDT
2021-02,BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,DOTUSDT
2021-03,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT
2021-04,BTCUSDT,ETHUSDT,BNBUSDT,ADAUSDT,CHZUSDT
2021-05,BTCUSDT,BNBUSDT,DOGEUSDT,ETHUSDT,XRPUSDT
2021-06,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT
2021-07,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT
2021-08,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT
2021-09,BTCUSDT,ETHUSDT,ADAUSDT,DOGEUSDT,BNBUSDT
2021-10,BTCUSDT,ETHUSDT,SOLUSDT,ADAUSDT,DOTUSDT
2021-11,BTCUSDT,ETHUSDT,SHIBUSDT,DOGEUSDT,SOLUSDT
2021-12,BTCUSDT,SHIBUSDT,ETHUSDT,BNBUSDT,MANAUSDT
2022-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,SANDUSDT
2022-02,BTCUSDT,ETHUSDT,FTMUSDT,BNBUSDT,LUNAUSDT
2022-03,BTCUSDT,ETHUSDT,SHIBUSDT,XRPUSDT,LUNAUSDT
2022-04,BTCUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT
2022-05,BTCUSDT,GMTUSDT,ETHUSDT,APEUSDT,LUNAUSDT
2022-06,BTCUSDT,ETHUSDT,GMTUSDT,BNBUSDT,APEUSDT
2022-07,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,ADAUSDT
2022-08,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,MATICUSDT
2022-09,BTCUSDT,ETHUSDT,BNBUSDT,ETCUSDT,SOLUSDT
2022-10,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ETCUSDT
2022-11,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,BNBUSDT
2022-12,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT
2023-01,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT
2023-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,APTUSDT
2023-03,BTCUSDT,ETHUSDT,MATICUSDT,BNBUSDT,APTUSDT
2023-04,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,MATICUSDT
2023-05,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT
2023-06,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ARBUSDT
2023-07,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,LTCUSDT
2023-08,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT
2023-09,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,SOLUSDT
2023-10,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,CYBERUSDT
2023-11,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT
2023-12,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT
2024-01,BTCUSDT,ETHUSDT,SOLUSDT,ORDIUSDT,AVAXUSDT
2024-02,BTCUSDT,ETHUSDT,SOLUSDT,ARBUSDT,BNBUSDT
2024-03,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT
2024-04,BTCUSDT,ETHUSDT,SOLUSDT,SHIBUSDT,BNBUSDT
2024-05,BTCUSDT,ETHUSDT,SOLUSDT,DOGEUSDT,BNBUSDT
2024-06,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,DOGEUSDT
2024-07,BTCUSDT,ETHUSDT,NOTUSDT,SOLUSDT,PEPEUSDT
2024-08,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,XRPUSDT
2024-09,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,PEPEUSDT
2024-10,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,PEPEUSDT
2024-11,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,NEIROUSDT
2024-12,BTCUSDT,ETHUSDT,DOGEUSDT,SOLUSDT,XRPUSDT
2025-01,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT
2025-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT
2025-03,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT
2025-04,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT
2025-05,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT
2025-06,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,PEPEUSDT
2025-07,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT
2025-08,ETHUSDT,BTCUSDT,XRPUSDT,SOLUSDT,DOGEUSDT
2025-09,ETHUSDT,BTCUSDT,SOLUSDT,XRPUSDT,DOGEUSDT
2025-10,ETHUSDT,BTCUSDT,SOLUSDT,DOGEUSDT,XRPUSDT
2025-11,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT
2025-12,BTCUSDT,ETHUSDT,SOLUSDT,ZECUSDT,BNBUSDT
2026-01,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT
2026-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT
2026-03,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT
2026-04,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT
2026-05,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT
2026-06,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT
