,EIIE,OLMAR,PAMR,RMR,UBAH,UCRP,BTC-hold
2020-01-01,1.00858,0.89269,0.919776,0.895287,1.01477,1.0145,1.00061
2020-01-02,0.985473,0.781117,0.775713,0.786511,0.975619,0.975139,0.967938
2020-01-03,1.01406,0.728433,0.694211,0.743145,1.02388,1.02348,1.02064
2020-01-04,1.01834,0.66991,0.610908,0.684671,1.03125,1.03087,1.02191
2020-01-05,1.01964,0.593915,0.521814,0.60913,1.03355,1.03319,1.02255
2020-01-06,1.06189,0.56118,0.476697,0.576539,1.10674,1.10655,1.07803
2020-01-07,1.06248,0.502205,0.398241,0.513447,1.10797,1.10757,1.13185
2020-01-08,1.05427,0.445384,0.34324,0.448975,1.09357,1.09269,1.11944
2020-01-09,1.04393,0.395905,0.290554,0.397559,1.07578,1.07462,1.08634
2020-01-10,1.07386,0.372867,0.256612,0.366835,1.12799,1.12682,1.13904
2020-01-11,1.07204,0.335057,0.218633,0.326647,1.12527,1.12374,1.11444
2020-01-12,1.08711,0.303152,0.191647,0.296895,1.1521,1.15031,1.13736
2020-01-13,1.07658,0.26881,0.160781,0.265258,1.13288,1.13151,1.12699
2020-01-14,1.15183,0.276376,0.155686,0.276311,1.26974,1.26648,1.22422
2020-01-15,1.16142,0.259643,0.135087,0.26667,1.28593,1.28417,1.2258
2020-01-16,1.1569,0.231299,0.114177,0.239329,1.27888,1.27583,1.21171
2020-01-17,1.19725,0.238297,0.101469,0.243549,1.35149,1.34987,1.23857
2020-01-18,1.19086,0.218209,0.083765,0.219193,1.34007,1.33831,1.23894
2020-01-19,1.1602,0.193891,0.0710099,0.194112,1.28171,1.28013,1.20917
2020-01-20,1.16133,0.175028,0.0625421,0.176795,1.28416,1.28192,1.20092
2020-01-21,1.17394,0.157917,0.0555946,0.160399,1.30688,1.30538,1.21394
2020-01-22,1.17105,0.14109,0.0477165,0.143123,1.30181,1.29993,1.20648
2020-01-23,1.13767,0.120851,0.0393015,0.122543,1.23904,1.23746,1.16787
2020-01-24,1.14004,0.108592,0.0348333,0.109318,1.2434,1.2412,1.17266
2020-01-25,1.12988,0.097743,0.0297805,0.0980312,1.22401,1.22269,1.15899
2020-01-26,1.15677,0.0913523,0.0269256,0.0929416,1.27461,1.27237,1.19712
2020-01-27,1.17307,0.0840997,0.0237649,0.0853636,1.3066,1.30268,1.23777
2020-01-28,1.19562,0.0793463,0.0213371,0.0805571,1.34892,1.34475,1.30262
