,dev_cagr,dev_sharpe,dev_mdd,hold_cagr,hold_sharpe,hold_mdd,worst_yr,yr_std
CONTROL META-GT,106.65573320794479,1.4106586769863665,64.60915162731932,76.8134412340805,1.1260640197236027,56.77061617975583,-3.349192576909299,102.62291036706132
R9 risk-parity,106.8417503824787,1.411289153446784,65.17442182146597,77.69530009665868,1.1320251549226754,56.87797068324863,-4.011308675114145,98.65837889035865
R10 calmar-tilt,105.44627653842866,1.3991144976647505,65.56764165800261,79.35597237077138,1.1536138464133239,53.81778704657365,-9.055667521603327,98.10749194522273
R11 downside-vol target,95.59717276697491,1.4364020286927397,56.924123075825705,80.99998029895671,1.2531781818135546,36.71057218879851,-6.196208910925927,95.04714386834529
R12 corr-gate,90.25894497873705,1.5017434645626555,49.77240465220174,56.8506147324108,1.096403246923765,43.708472051795546,8.836337758742129,77.44621948215749
R13 vol-of-vol brake,128.50188011440196,1.6170125008264171,61.95732828565153,62.429210409465654,1.0698064767839859,51.22813631051424,5.488573788968298,117.43999904134381
R14 monthly meta-rebal,105.21370985682994,1.397786674114916,65.385171366271,76.0536635574191,1.1230729937413417,56.94091926234864,-7.663293160068118,96.59003731936838
R16 kill-switch,-79.91420209978675,-1.3441931717954865,99.84544075405668,-81.29309338480543,-1.3715039694019366,98.74853969707577,-90.91762566630334,9.431995987762255
R17 skew-tilt,105.4808636729883,1.3966124045136858,66.07318093626017,74.95430593441219,1.111522208545576,57.18928306541346,-2.6736380192405207,98.7389343796222
R18 self-momentum,84.22987461160616,1.320415179189551,59.12692944214748,22.95780459691712,0.6226636393685739,55.286937209202044,-16.21946470968213,96.98642644447041
R19 ERC,106.6087887713362,1.4090170120430665,65.1688231293535,76.56418372046517,1.1236144147990044,56.80465247964348,-3.7957983046316923,98.34963198297243
